"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim","successful_attack"
"15037","ache with sadness ( the way chekhov is funny ), profound without ever being self-important ","ache with sadness ( the way chekhov is funny ) profound, without being self-important.","0.006","0.029","0.005","0.0","0"
"40789","with a solid pedigree both in front of and, more specifically, behind the camera ","with a solid backup both in front of and, more specifically, behind, behind the camera.","0.115","0.46","0.092","0.024","0"
"40789","with a solid pedigree both in front of and, more specifically, behind the camera ","with a solid pedigree both at and behind the camera.","0.057","0.585","0.044","0.024","0"
"47868","'s a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today ","uations '' updated indifferent to its flaws,SpeciallySeeier's powerful though flawed movie fully guaranteed","0.031","0.008","0.42","0.003","0"
"47868","'s a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today ","The thiElty is a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working","0.001","0.263","0.001","0.003","0"
"9057","suitable summer entertainment that offers escapism without requiring a great deal of thought ","suitable summer entertainment that offers escapism without requiring a great deal of thought.","0.034","0.929","0.026","0.035","0"
"9057","suitable summer entertainment that offers escapism without requiring a great deal of thought ","Suitable summer entertainment that offers escapism without demanding a great deal of thought.","0.006","0.921","0.004","0.035","0"
"7121","been deemed important enough to make a film in which someone has to be hired to portray richard dawson ","Somebody last month was deemed enough to make a film in which someone has suitable to portray richard dawson. ``","0.67","0.344","0.98","0.179","0"
"7121","been deemed important enough to make a film in which someone has to be hired to portray richard dawson ","been deemed important enough to make a film in which someone has to be hired to portray richard dawson.","0.146","0.696","0.116","0.179","0"
"14526","'re as happy listening to movies as you are watching them, and the slow parade of human frailty fascinates you ","Ofcourse, you feel just as happy listening to movies as you're watching them, and persons' assembly.","0.158","0.055","0.416","0.0","0"
"14526","'re as happy listening to movies as you are watching them, and the slow parade of human frailty fascinates you ","So, belive, ""'re as happy listening to movies as you are watching them...The slow parade of human frailty fascinates you ''.","0.0","0.092","0.0","0.0","0"
"59587",", the film works as well as it does because of the performances. ","The film works as increasingly well as it does, because of the performances.","0.351","0.886","0.292","0.021","0"
"59587",", the film works as well as it does because of the performances. ",", the film works as well as it does because of the performances.","0.027","0.848","0.021","0.021","0"
"14901","the old boy's characters more quick-witted than any english lit ","the old boy characters are more quick-witted than any English Despair.","0.032","0.666","0.024","0.019","0"
"14901","the old boy's characters more quick-witted than any english lit ","the Old Boy 'es defenders are more quick-witted than any english lit.","0.011","0.313","0.008","0.019","0"
"32407","about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth "," About an unruly adolescent boy. Who is yearning for adventure and a chance to show his worth","0.005","0.939","0.004","0.001","0"
"32407","about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth ","About an unruly adolescent boy who is yearning for adventure and a chance to prove his worth.","0.002","0.959","0.002","0.001","0"
"40287","more sophisticated and literate than such pictures usually are... an amusing little catch ","Amore sophisticated and literate than such pictures usually are `` an Ariel little catch  ''","0.16","0.047","0.827","0.046","0"
"40287","more sophisticated and literate than such pictures usually are... an amusing little catch ","More sophisticated and literate, more certainly than or sometimes pictures like that, are.","0.099","0.044","0.168","0.046","0"
"27634","has never been more charming than in about a boy. ","has never been more charming than a boy.","0.08","0.077","0.081","0.063","0"
"27634","has never been more charming than in about a boy. ","has never been more charming than in about a boy.","0.051","0.032","0.063","0.063","0"
"9507",", the film maintains a beguiling serenity and poise that make it accessible for a non-narrative feature. ","The film maintains a beguiling serenity that makes it accessible for a non-negative feature.","0.0","0.319","0.0","0.0","0"
"9507",", the film maintains a beguiling serenity and poise that make it accessible for a non-narrative feature. ","The film maintains a beguiling serenity and poisethat understand it, having effectively made it accessible to a non-narrative feature.","0.0","0.262","0.0","0.0","0"
"29475","the darling of many a kids-and-family-oriented cable channel ","The darling of many a kids-and-family-oriented cable channel.","0.593","0.852","0.538","0.743","0"
"29475","the darling of many a kids-and-family-oriented cable channel ","The darling of many a kids/and family-oriented cable channel,","0.388","0.322","0.416","0.743","0"
"57060","uniquely felt with a sardonic jolt ","uniquely felt a sardonic jolt.","0.26","0.163","0.325","0.155","0"
"57060","uniquely felt with a sardonic jolt ","uniquely, with a sardonic surge.","0.093","0.096","0.092","0.155","0"
"16261",", it does so without compromising that complexity. ",", it does so without compromising personal complexities.","0.105","0.547","0.083","0.105","0"
"16261",", it does so without compromising that complexity. ","It is engineered without compromising that complexity It does.","0.103","0.32","0.084","0.105","0"
"65767","succeeds as a well-made evocation of a subculture. ","Succeeds as a well-made capture of a subculture �","0.059","0.373","0.046","0.004","0"
"65767","succeeds as a well-made evocation of a subculture. ","succeeds as a well-made evocation of a sub-culture.","0.006","0.796","0.004","0.004","0"
"6798","while the importance of being earnest offers opportunities for occasional smiles and chuckles ","Note the importance of being earnest offers opportunities for occasional smiles.","0.185","0.314","0.163","0.049","0"
"6798","while the importance of being earnest offers opportunities for occasional smiles and chuckles ","The importance of being earnest offers opportunities for occasional smiles and chuckles.","0.02","0.893","0.015","0.049","0"
"58931","a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams. ","a bold ( and simply stylish ) experiment that will almost certainly bore most audiences into their own brightly colored dreams. ``","0.0","0.0","0.215","0.016","0"
"58931","a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams. ","A bold ( and very remarkable ) experiment that will feel almost certainly bore most audiences into their own brightly colored dreams.","0.0","0.0","0.094","0.016","0"
"14781","a gorgeously strange movie, heaven is deeply concerned with morality, but ","A gorgeously strange movie, heaven is deeply concerned with morality, but located.","0.014","0.267","0.011","0.01","0"
"14781","a gorgeously strange movie, heaven is deeply concerned with morality, but ","A gorgeously strange movie, heaven is deeply concerned with morality, but","0.013","0.934","0.01","0.01","0"
"56657","see scratch for the music, see scratch for a lesson in scratching, but, most of all, see it for the passion. ","see scratch for music, see scratch for a lesson in scratching, but mostly see it for the passion.","0.556","0.58","0.549","0.149","0"
"56657","see scratch for the music, see scratch for a lesson in scratching, but, most of all, see it for the passion. ","see scratch for music, see scratch for a lesson in scratching, but most of all, observe it for the passion.","0.518","0.743","0.47","0.149","0"
